---------------------------------------------------------------------------------------------																			
引水流量	河道损失流量	支流入黄日均流量过程																	
----------------------	----------------------------------	----------------------------------																	
编号	年	月	日	时间	小花	花夹	夹高	高孙	孙艾	艾泺	泺利	小花	花夹	夹高	高孙	孙艾	艾泺	泺利	
81	1988	9	29	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	83
82	1988	9	30	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	77.2



















1	2012	6	18	24	-72	-132	-263.3	-188	-186.2	-138.12	-51.19	-10	-20	-20	-20	-10	-20	-20	0
2	2012	6	19	24	-72	-132	-263.3	-188	-186.2	-138.12	-51.19	-10	-20	-20	-20	-10	-20	-20	0
3	2012	6	20	24	-72	-136	-268	-194.8	-185.6	-193.9	-50.78	-10	-20	-20	-20	-10	-20	-20	0
4	2012	6	21	24	-66	-144	-285.8	-226.98	-194.6	-198.5	-77.21	-10	-20	-20	-20	-10	-20	-20	0
5	2012	6	22	24	-69	-149	-290.9	-262.9	-224.3	-196.03	-140.16	-10	-20	-20	-20	-10	-20	-20	0
6	2012	6	23	24	-71	-145	-284	-262	-235	-121	-159	-10	-20	-20	-20	-10	-20	-20	0
7	2012	6	24	24	-69	-143	-238.6	-257.9	-228.5	-45.83	-137.84	-10	-20	-20	-20	-10	-20	-20	0
8	2012	6	25	24	-61	-135	-235.6	-257.6	-214.31	-117.02	-177.96	-10	-20	-20	-20	-10	-20	-20	0
9	2012	6	26	24	-67	-136	-237.3	-238.78	-179.9	-190.34	-184.46	-10	-20	-20	-20	-10	-20	-20	0
10	2012	6	27	24	-47	-134	-218.3	-217.2	-148.77	-181.05	-135.13	-10	-20	-20	-20	-10	-20	-20	0
11	2012	6	28	24	-41.78	-130.32	-197.43	-173.08	-133.94	-180.86	-111.43	-10	-20	-20	-20	-10	-20	-20	0
12	2012	6	29	24	-39	-128	-186.4	-135.18	-112	-150.76	-108.27	-10	-20	-20	-20	-10	-20	-20	0
13	2012	6	30	24	-39	-127	-151.4	-100.29	-38.2	-63.02	-93.7	-10	-20	-20	-20	-10	-20	-20	0
14	2012	7	1	24	-39	-109	-146.5	-71.2	0	-14.06	-84.13	-10	-20	-20	-20	-10	-20	-20	0
15	2012	7	2	24	-41	-101	-146.4	-67.2	0	-22.9	-75.79	-10	-20	-20	-20	-10	-20	-20	0
16	2012	7	3	24	-38	-96	-145.4	-59.9	0	-34.37	-71.42	-10	-20	-20	-20	-10	-20	-20	0
17	2012	7	4	24	-42	-88	-149.96	-58.35	0	-23.83	-54.14	-10	-20	-20	-20	-10	-20	-20	0
18	2012	7	5	24	-53	-41	-102	-52.28	0	-13	-23.24	-10	-20	-20	-20	-10	-20	-20	0
19	2012	7	6	24	-55	-5	-81	-51.07	0	-13	-23.38	-10	-20	-20	-20	-10	-20	-20	0
20	2012	7	7	24	-37	-4	-54	-54.27	0	-3.26	-23.63	-10	-20	-20	-20	-10	-20	-20	0
21	2012	7	8	24	-13.89	-12	-42.13	-48.32	0	0	-28.3	-10	-20	-20	-20	-10	-20	-20	0
22	2012	7	9	24	-14	-31	-24	-37.03	0	0	-15.69	-10	-20	-20	-20	-10	-20	-20	0
23	2012	7	10	24	-11	-46	-39	-23.94	0	0	-8.13	-10	-20	-20	-20	-10	-20	-20	0
24	2012	7	11	24	-24	-59	-59	-29.97	0	0	-5.94	-10	-20	-20	-20	-10	-20	-20	0
25	2012	7	12	24	-38	-65	-42	-26	0	0	0	-10	-20	-20	-20	-10	-20	-20	0
26	2012	7	13	24	-14	-55	-23	-23	0	0	0	-10	-20	-20	-20	-10	-20	-20	0
27	2012	7	14	24	-8	-47	0	-13	0	-7.25	0	-10	-20	-20	-20	-10	-20	-20	0
28	2012	7	15	24	-9	-44	0	-14	0	-11.6	-1.71	-10	-20	-20	-20	-10	-20	-20	0
29	2012	7	16	24	-10	-43	-2	-21	0	-11.91	-43.66	-10	-20	-20	-20	-10	-20	-20	0
30	2012	7	17	24	-10	-43	-2	-21	0	-11.91	-43.66	-10	-20	-20	-20	-10	-20	-20	0













1	2009	6	18	24	-50 	-67 	-110 	-61 	-13 	-57 	-26 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 
2	2009	6	19	24	-58 	-79 	-110 	-73 	-11 	-44 	-22 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 
3	2009	6	20	24	-66 	-99 	-117 	-98 	-43 	-47 	-25 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 
4	2009	6	21	24	-69 	-107 	-112 	-129 	-55 	-26 	-27 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 
5	2009	6	22	24	-70 	-111 	-122 	-144 	-53 	-27 	-20 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 
6	2009	6	23	24	-68 	-111 	-139 	-153 	-48 	-28 	-28 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 
7	2009	6	24	24	-67 	-103 	-147 	-177 	-49 	-26 	-35 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 
8	2009	6	25	24	-66 	-94 	-143 	-163 	-54 	-33 	-35 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 
9	2009	6	26	24	-63 	-94 	-138 	-166 	-50 	-30 	-33 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 
10	2009	6	27	24	-59 	-89 	-142 	-174 	-35 	-31 	-34 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 
11	2009	6	28	24	-54 	-83 	-153 	-173 	-30 	-30 	-35 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 
12	2009	6	29	24	-47 	-78 	-161 	-185 	-28 	-26 	-35 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 
13	2009	6	30	24	-48 	-70 	-180 	-188 	-19 	-24 	-56 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 
14	2009	7	1	24	-48 	-58 	-189 	-211 	-18 	-18 	-41 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 
15	2009	7	2	24	-66 	-70 	-169 	-245 	-18 	-15 	-31 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 
16	2009	7	3	24	-47 	-68 	-190 	-264 	-18 	-13 	-38 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 
17	2009	7	4	24	-9 	-29 	-209 	-273 	-6 	-21 	-44 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 
18	2009	7	5	24	-6 	-28 	-172 	-228 	0 	-12 	-28 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 
19	2009	7	6	24	-5 	-30 	-97 	-211 	0 	-3 	-26 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 
20	2009	7	7	24	-5 	-30 	-97 	-211 	0 	-3 	-26 	-10 	-20 	-20 	-20 	-10 	-20 	-20 	0 








1	2011	6	18	24	-30	-68.74	-74.3	-112.15	-9.66	-107.44	-56.03	-10	-20	-20	-20	-10	-20	-20	0
2	2011	6	19	24	-30	-74.77	-70.6	-108.17	-9.07	-115.44	-75.49	-10	-20	-20	-20	-10	-20	-20	0
3	2011	6	20	24	-30	-85.88	-63.55	-95.94	-9.39	-76.57	-39.53	-10	-20	-20	-20	-10	-20	-20	0
4	2011	6	21	24	-30	-103.47	-71.18	-99.24	-9.44	-78.97	-39.25	-10	-20	-20	-20	-10	-20	-20	0
5	2011	6	22	24	-30	-127.78	-80.91	-151.96	-9.88	-71.37	-32.34	-10	-20	-20	-20	-10	-20	-20	0
6	2011	6	23	24	-30	-141.89	-98.97	-232.46	-24.6	-113.2	-45.97	-10	-20	-20	-20	-10	-20	-20	0
7	2011	6	24	24	-30	-150.8	-120.94	-263.55	-35.46	-134.46	-88.94	-10	-20	-20	-20	-10	-20	-20	0
8	2011	6	25	24	-30	-151.63	-130.21	-287.18	-36.44	-157.66	-135.49	-10	-20	-20	-20	-10	-20	-20	0
9	2011	6	26	24	-30	-145.37	-132.18	-297.65	-35.47	-157.8	-111.84	-10	-20	-20	-20	-10	-20	-20	0
10	2011	6	27	24	-30	-142.12	-134.14	-325.46	-35.55	-137.33	-130.26	-10	-20	-20	-20	-10	-20	-20	0
11	2011	6	28	24	-30	-137.05	-138.07	-353.93	-35.98	-128.7	-121.82	-10	-20	-20	-20	-10	-20	-20	0
12	2011	6	29	24	-30	-129.76	-135.76	-340.16	-35.34	-138.4	-119.82	-10	-20	-20	-20	-10	-20	-20	0
13	2011	6	30	24	-30	-126.16	-136.33	-306.09	-35.77	-138.98	-121.27	-10	-20	-20	-20	-10	-20	-20	0
14	2011	7	1	24	-30	-92.93	-112.04	-270.86	-30.2	-112.66	-112.99	-10	-20	-20	-20	-10	-20	-20	0
15	2011	7	2	24	-30	-96.09	-103.36	-286.83	-20.2	-24.09	-82.12	-10	-20	-20	-20	-10	-20	-20	0
16	2011	7	3	24	-30	-87.26	-100.69	-271.16	0	-3.9	-69.41	-10	-20	-20	-20	-10	-20	-20	0
17	2011	7	4	24	-30	-83.44	-96.06	-98.12	0	-3.9	-75.43	-10	-20	-20	-20	-10	-20	-20	0
18	2011	7	5	24	-30	-67.57	-96.77	-81.02	0	-3.9	-88.14	-10	-20	-20	-20	-10	-20	-20	0
19	2011	7	6	24	-30	-45.71	-98.26	-63.52	0	-5.33	-89.22	-10	-20	-20	-20	-10	-20	-20	0
20	2011	7	7	24	-30	-37.04	-91.43	-68	0	-3.9	-54.34	-10	-20	-20	-20	-10	-20	-20	0
21	2011	7	8	24	-30	-52.03	-103.93	-65.21	0	-2.9	-26.21	-10	-20	-20	-20	-10	-20	-20	0
22	2011	7	9	24	-30	-40.17	-66.9	-56.49	0	-13.4	0	-10	-20	-20	-20	-10	-20	-20	0
23	2011	7	10	24	-30	-35.17	-39.58	-41.43	0	-13.41	-8.1	-10	-20	-20	-20	-10	-20	-20	0
24	2011	7	11	24	-30	-32.3	-35.3	-31.6	0	-20.31	-12.09	-10	-20	-20	-20	-10	-20	-20	0
25	2011	7	12	24	-30	-33.91	-37.97	-31.69	0	-23.41	-4.05	-10	-20	-20	-20	-10	-20	-20	0
26	2011	7	13	24	-30	-28.47	-27.89	-33.25	0	-22.96	-10.4	-10	-20	-20	-20	-10	-20	-20	0
27	2011	7	14	24	-30	-29.28	-13.07	-32.14	0	-14.66	-10.04	-10	-20	-20	-20	-10	-20	-20	0
28	2011	7	15	24	-30	-30	-12.67	-27.84	0	-14.31	-31.41	-10	-20	-20	-20	-10	-20	-20	0
																			
